date,exchange,code,name,total_shares_wanfen
2026-09-01,SSE,512670,国防ETF,218965.26
2026-09-01,SSE,512680,军工基金,305453.01
2026-09-01,SSE,512690,酒ETF,3154435.02
2026-09-01,SSE,512700,XD银行基,70458.1
2026-09-01,SSE,512710,军工龙头,1160865.84
2026-09-01,SSE,512720,计算机,36345.34
2026-09-01,SSE,512730,银行FUND,5208.39
2026-09-01,SSE,512750,基本面50,4655.49
2026-09-01,SSE,512760,芯片ETF,961344.55
2026-09-01,SSE,512770,战略新兴,9826.78
2026-09-01,SSE,512800,银行ETF,1189947.99
2026-09-01,SSE,512810,国防军工,97558.35
2026-09-01,SSE,512820,银行股基,38260.19
2026-09-01,SSE,512870,杭州湾区,2241.06
2026-09-01,SSE,512880,证券ETF,5632429.15
2026-09-01,SSE,512890,红利低波,2702711.08
2026-09-01,SSE,512900,证券基金,746140.6
2026-09-01,SSE,512910,100ETF,13112.88
2026-09-01,SSE,512930,AIETF,484452.13
2026-09-01,SSE,512940,有色矿业,214370.5
2026-09-01,SSE,512950,央企改革,404255.1
2026-09-01,SSE,512960,央调ETF,385545.73
2026-09-01,SSE,512970,湾区ETF,498.76
2026-09-01,SSE,512980,传媒ETF,495742.44
2026-09-01,SSE,512990,MSCIA股,9901.54
2026-09-01,SSE,513000,225ETF,100291.14
2026-09-01,SSE,513010,港股科技,4423930.7
2026-09-01,SSE,513020,科技HK,228814.54
2026-09-01,SSE,513030,德国ETF,101777.9
2026-09-01,SSE,513040,HK互联网,681434.13
2026-09-01,SSE,513050,中概互联,3453843.27
2026-09-01,SSE,513060,恒生医疗,858539.33
2026-09-01,SSE,513070,HK消费50,133676.08
2026-09-01,SSE,513080,法国ETF,66091.6
2026-09-01,SSE,513090,香港证券,978448.8
2026-09-01,SSE,513100,纳指ETF,946511.06
2026-09-01,SSE,513110,纳指100,220243.5
2026-09-01,SSE,513120,HK创新药,1884863.54
2026-09-01,SSE,513130,恒生科技,5669434.7
2026-09-01,SSE,513140,港股金融,7836.8
2026-09-01,SSE,513150,港科技50,10055.98
2026-09-01,SSE,513160,科技30,318918.93
2026-09-01,SSE,513170,恒生央企,16357.3
2026-09-01,SSE,513180,恒指科技,6954675.95
2026-09-01,SSE,513190,H股金融,99693.6
2026-09-01,SSE,513200,港股医药,89028.21
2026-09-01,SSE,513210,恒生E,4094.2
