date,exchange,code,name,total_shares_wanfen
2026-08-03,SSE,510010,治理ETF,13052.44
2026-08-03,SSE,510020,超大ETF,3684.8
2026-08-03,SSE,510030,价值ETF,15472.98
2026-08-03,SSE,510040,上证180E,3248
2026-08-03,SSE,510050,50ETF,767766.68
2026-08-03,SSE,510060,央企ETF,3495.92
2026-08-03,SSE,510090,ESG建信,2708.11
2026-08-03,SSE,510100,SZ50ETF,103640.68
2026-08-03,SSE,510130,中盘ETF,3148.51
2026-08-03,SSE,510140,上证指,13123.05
2026-08-03,SSE,510150,消费ETF,306717.86
2026-08-03,SSE,510160,产业升级,19205.74
2026-08-03,SSE,510170,商品ETF,33891.48
2026-08-03,SSE,510180,180ETF,442905.77
2026-08-03,SSE,510190,上证50基,2365.08
2026-08-03,SSE,510200,上证券商,15388.55
2026-08-03,SSE,510210,综指ETF,2043219.26
2026-08-03,SSE,510230,金融ETF,62680.8
2026-08-03,SSE,510270,国企ETF,1683.21
2026-08-03,SSE,510290,380ETF,5644.89
2026-08-03,SSE,510300,300ETF,2705808.77
2026-08-03,SSE,510310,HS300ETF,1179604.4
2026-08-03,SSE,510320,300中金,63406.85
2026-08-03,SSE,510330,华夏300,878514.98
2026-08-03,SSE,510350,工银300,68411.47
2026-08-03,SSE,510360,广发300,190738.12
2026-08-03,SSE,510370,兴业300,8725.81
2026-08-03,SSE,510380,国寿300,148880.24
2026-08-03,SSE,510390,平安300,12665
2026-08-03,SSE,510410,资源ETF,42725.84
2026-08-03,SSE,510500,500ETF,631176.86
2026-08-03,SSE,510510,广发500,97103.83
2026-08-03,SSE,510530,工银500,4897.94
2026-08-03,SSE,510550,方正500,2374.33
2026-08-03,SSE,510560,国寿500,6031.87
2026-08-03,SSE,510570,兴业500,3556.06
2026-08-03,SSE,510580,ZZ500ETF,116376.83
2026-08-03,SSE,510590,平安500,11558.61
2026-08-03,SSE,510600,沪50ETF,1361.51
2026-08-03,SSE,510630,消费30,63736.15
2026-08-03,SSE,510650,金融行业,1145.25
2026-08-03,SSE,510660,医药行业,5887.97
2026-08-03,SSE,510670,180指,19049.3
2026-08-03,SSE,510680,万家50,2112.47
2026-08-03,SSE,510710,上50ETF,10611.89
2026-08-03,SSE,510720,红利国泰,233876.6
2026-08-03,SSE,510760,上证ETF,437650.37
2026-08-03,SSE,510770,G60创新,2161.07
2026-08-03,SSE,510800,上证50,18057.6
2026-08-03,SSE,510810,上海国企,596929.37
2026-08-03,SSE,510850,工银上50,5569.89
2026-08-03,SSE,510880,红利ETF,687667.57
2026-08-03,SSE,510900,恒生中国,344402.19
2026-08-03,SSE,510910,上证指CS,34279.6
2026-08-03,SSE,510950,上证广发,15232.08
2026-08-03,SSE,510980,上证综合,116979.8
2026-08-03,SSE,510990,ESG180,3894.86
2026-08-03,SSE,511010,国债ETF,4229.63
2026-08-03,SSE,511020,活跃国债,3468.75
2026-08-03,SSE,511030,公司债,38812.07
2026-08-03,SSE,511060,5年地债,1913.63
2026-08-03,SSE,511070,沪公司债,27272.1
2026-08-03,SSE,511090,30年国债,27416.81
2026-08-03,SSE,511100,基准国债,11063.05
2026-08-03,SSE,511110,公司债易,28679.96
2026-08-03,SSE,511120,科创债基,11762.06
2026-08-03,SSE,511130,国债30年,15872.97
2026-08-03,SSE,511150,科债永赢,11093.09
2026-08-03,SSE,511160,国债东财,2304.09
2026-08-03,SSE,511180,上证转债,93635.97
2026-08-03,SSE,511190,信用债,12911.43
2026-08-03,SSE,511200,信用债基,21302.75
2026-08-03,SSE,511220,城投ETF,528818.14
2026-08-03,SSE,511260,十年国债,15072.65
2026-08-03,SSE,511270,10年地债,8294.75
2026-08-03,SSE,511360,短融ETF,75068.06
2026-08-03,SSE,511380,转债ETF,462618.67
2026-08-03,SSE,511520,政金债,36865.65
2026-08-03,SSE,511580,国债政金,7086.08
2026-08-03,SSE,512000,券商ETF,7571223.54
2026-08-03,SSE,512010,医药ETF,4579569.49
2026-08-03,SSE,512020,A500,111201.27
2026-08-03,SSE,512030,A50增,4924
2026-08-03,SSE,512040,国信价值,406171.59
2026-08-03,SSE,512050,A500E,1723999.22
2026-08-03,SSE,512060,A100指基,1092.8
2026-08-03,SSE,512070,证券保险,1894347.97
2026-08-03,SSE,512080,A500中金,63818.61
2026-08-03,SSE,512090,MSCI易基,36359.23
2026-08-03,SSE,512100,1000ETF,1174121.76
2026-08-03,SSE,512120,医药50,83624.19
2026-08-03,SSE,512130,现金全指,1489.5
2026-08-03,SSE,512140,电力事业,16104.9
2026-08-03,SSE,512150,A50ETF,1807.34
2026-08-03,SSE,512160,MSCI基金,12377.78
2026-08-03,SSE,512170,医疗ETF,7912682.05
2026-08-03,SSE,512180,建信MSCI,4804.8
2026-08-03,SSE,512190,之江凤凰,18121.84
2026-08-03,SSE,512200,地产ETF,279484.79
2026-08-03,SSE,512220,TMTETF,20396.76
2026-08-03,SSE,512240,A50龙头,2018.6
2026-08-03,SSE,512250,A50指数E,12560.01
2026-08-03,SSE,512260,500低波,2129.77
2026-08-03,SSE,512290,生物医药,359282.07
2026-08-03,SSE,512330,信息ETF,36118.8
2026-08-03,SSE,512360,MSCI国际,2733.77
2026-08-03,SSE,512370,A500增指,32331.3
2026-08-03,SSE,512380,MSCI中国,7580.56
2026-08-03,SSE,512390,MSCI低波,1568.2
2026-08-03,SSE,512400,有色ETF,1292253.9
2026-08-03,SSE,512410,银行广发,8997.17
2026-08-03,SSE,512430,家电家居,3072
2026-08-03,SSE,512450,广发养殖,11336.7
2026-08-03,SSE,512460,电池主题,30582.3
2026-08-03,SSE,512480,半导体,2029800.72
2026-08-03,SSE,512500,中证500,198880.88
2026-08-03,SSE,512510,ETF500,44392.98
2026-08-03,SSE,512520,MSCIETF,4505.64
2026-08-03,SSE,512530,300红利,10150.2
2026-08-03,SSE,512550,A50基金,11190.6
2026-08-03,SSE,512560,中证军工,102812.7
2026-08-03,SSE,512570,中证证券,403380.61
2026-08-03,SSE,512580,环保ETF,57387.17
2026-08-03,SSE,512600,必选消费,172205.61
2026-08-03,SSE,512620,农业TH,143066.6
2026-08-03,SSE,512630,卫星基金,184842.6
2026-08-03,SSE,512640,金融地产,2174.09
2026-08-03,SSE,512650,长三角,3494.16
2026-08-03,SSE,512660,军工ETF,591508
2026-08-03,SSE,512670,国防ETF,227865.26
2026-08-03,SSE,512680,军工基金,318253.01
2026-08-03,SSE,512690,酒ETF,3287995.02
2026-08-03,SSE,512700,银行基金,74108.1
2026-08-03,SSE,512710,军工龙头,1195265.84
2026-08-03,SSE,512720,计算机,37945.34
2026-08-03,SSE,512730,银行FUND,6458.39
2026-08-03,SSE,512750,基本面50,4745.49
2026-08-03,SSE,512760,芯片ETF,980944.55
2026-08-03,SSE,512770,战略新兴,9826.78
2026-08-03,SSE,512800,银行ETF,1296507.99
2026-08-03,SSE,512810,国防军工,104558.35
2026-08-03,SSE,512820,银行股基,39940.19
2026-08-03,SSE,512870,杭州湾区,2041.06
2026-08-03,SSE,512880,证券ETF,5702929.15
2026-08-03,SSE,512890,红利低波,2884511.08
2026-08-03,SSE,512900,证券基金,750340.6
2026-08-03,SSE,512910,100ETF,13262.88
2026-08-03,SSE,512930,AIETF,483252.13
2026-08-03,SSE,512940,有色矿业,218370.5
2026-08-03,SSE,512950,央企改革,405455.1
2026-08-03,SSE,512960,央调ETF,385725.73
2026-08-03,SSE,512970,湾区ETF,698.76
2026-08-03,SSE,512980,传媒ETF,485992.44
2026-08-03,SSE,512990,MSCIA股,10101.54
2026-08-03,SSE,513000,225ETF,99291.14
2026-08-03,SSE,513010,港股科技,4443030.7
2026-08-03,SSE,513020,科技HK,244914.54
2026-08-03,SSE,513030,德国ETF,99727.9
2026-08-03,SSE,513040,HK互联网,695184.13
2026-08-03,SSE,513050,中概互联,3372543.27
2026-08-03,SSE,513060,恒生医疗,1080289.33
2026-08-03,SSE,513070,HK消费50,131476.08
2026-08-03,SSE,513080,法国ETF,64241.6
2026-08-03,SSE,513090,香港证券,1016798.8
2026-08-03,SSE,513100,纳指ETF,946511.06
2026-08-03,SSE,513110,纳指100,218143.5
2026-08-03,SSE,513120,HK创新药,2250663.54
2026-08-03,SSE,513130,恒生科技,5729334.7
2026-08-03,SSE,513140,港股金融,8236.8
2026-08-03,SSE,513150,港科技50,10505.98
2026-08-03,SSE,513160,科技30,342618.93
2026-08-03,SSE,513170,恒生央企,20257.3
2026-08-03,SSE,513180,恒指科技,6982875.95
2026-08-03,SSE,513190,H股金融,109693.6
2026-08-03,SSE,513200,港股医药,92928.21
2026-08-03,SSE,513210,恒生E,4494.2
2026-08-03,SSE,513220,互联网30,50210.94
2026-08-03,SSE,513230,H股消费,32142.27
2026-08-03,SSE,513240,港信息,13149.6
2026-08-03,SSE,513260,恒科技,483324.3
2026-08-03,SSE,513280,恒生生物,39411.45
2026-08-03,SSE,513290,纳指生物,102507.21
2026-08-03,SSE,513300,纳斯达克,525817.1
2026-08-03,SSE,513310,中韩芯片,236742.7
2026-08-03,SSE,513320,HK新经济,8901.06
2026-08-03,SSE,513330,恒生互联,6803748
2026-08-03,SSE,513350,油气ETF,82374.6
2026-08-03,SSE,513360,教育ETF,68521.39
2026-08-03,SSE,513380,科技恒生,1803778.49
2026-08-03,SSE,513390,纳指基金,207837.91
2026-08-03,SSE,513400,道琼斯,251206.2
2026-08-03,SSE,513500,标普500,1010763.86
2026-08-03,SSE,513520,日经ETF,106738.72
2026-08-03,SSE,513530,港股红利,270043.87
2026-08-03,SSE,513550,港股通50,167299.2
2026-08-03,SSE,513560,香港科技,54538.6
2026-08-03,SSE,513580,HS科技,607111.8
2026-08-03,SSE,513590,香港消费,14011.89
2026-08-03,SSE,513600,恒指ETF,65082.95
2026-08-03,SSE,513620,港医疗指,11121.6
2026-08-03,SSE,513630,香港红利,782235.9
2026-08-03,SSE,513650,标普ETF,432373.4
2026-08-03,SSE,513660,恒生通,205800.02
2026-08-03,SSE,513690,恒生股息,369597.99
2026-08-03,SSE,513700,香港医药,83684.6
2026-08-03,SSE,513720,香港互联,25185.9
2026-08-03,SSE,513730,东南亚,82335.5
2026-08-03,SSE,513750,港股非银,969033.8
2026-08-03,SSE,513770,港股互联,1505713.79
2026-08-03,SSE,513780,港股新药,185015.7
2026-08-03,SSE,513800,东证ETF,100944.44
2026-08-03,SSE,513810,港股国企,4199.2
2026-08-03,SSE,513820,港股分红,183516.9
2026-08-03,SSE,513830,红利港股,5531.1
2026-08-03,SSE,513850,美国50,122389.26
2026-08-03,SSE,513860,HKC科技,344347.06
2026-08-03,SSE,513870,纳指指数,135667.1
2026-08-03,SSE,513880,日经225,129397
2026-08-03,SSE,513890,HK科技,90112.8
2026-08-03,SSE,513900,港股100,10097.8
2026-08-03,SSE,513910,红利央企,214227.6
2026-08-03,SSE,513920,央企40,271823.1
2026-08-03,SSE,513930,香港生科,9840.8
2026-08-03,SSE,513950,恒生红利,252861.9
2026-08-03,SSE,513970,恒生消费,147004.1
2026-08-03,SSE,513980,科技港股,1881520.4
2026-08-03,SSE,513990,港股通综,5100
2026-08-03,SSE,515000,科技ETF,318057.93
2026-08-03,SSE,515010,华夏证券,210727.16
2026-08-03,SSE,515020,银行指数,43084.53
2026-08-03,SSE,515030,新汽车,158938.4
2026-08-03,SSE,515040,工业金属,7731.96
2026-08-03,SSE,515050,5GETF,1796720.54
2026-08-03,SSE,515060,华夏地产,95247.81
2026-08-03,SSE,515070,AI智能,735094.04
2026-08-03,SSE,515080,中证红利,772414.89
2026-08-03,SSE,515090,可持续,1080.17
2026-08-03,SSE,515100,红利100,411494.15
2026-08-03,SSE,515110,国企方达,21729.5
2026-08-03,SSE,515120,创新药,1919199.36
2026-08-03,SSE,515130,HS300E,10646.32
2026-08-03,SSE,515150,国企富国,39770.32
2026-08-03,SSE,515160,MSCI招商,24595.51
2026-08-03,SSE,515170,食品饮料,891475.79
2026-08-03,SSE,515180,100红利,1353363.7
2026-08-03,SSE,515190,BOCI500,29146.61
2026-08-03,SSE,515200,创新100,3994.32
2026-08-03,SSE,515210,钢铁ETF,105372.61
2026-08-03,SSE,515220,煤炭ETF,1160467.69
2026-08-03,SSE,515230,软件ETF,756669.09
2026-08-03,SSE,515250,智能汽车,34594.45
2026-08-03,SSE,515260,电子ETF,88256.84
2026-08-03,SSE,515290,银行,283937.29
2026-08-03,SSE,515300,红利300,378017.52
2026-08-03,SSE,515310,添富300,38811.12
2026-08-03,SSE,515320,电子50,8230.9
2026-08-03,SSE,515330,天弘300,658170.95
2026-08-03,SSE,515350,民生300,1259.92
2026-08-03,SSE,515360,方正300,3827.93
2026-08-03,SSE,515370,中证光伏,96371.3
2026-08-03,SSE,515380,泰康300,67059.98
2026-08-03,SSE,515390,HS300,177468.3
2026-08-03,SSE,515400,大数据,180363.14
2026-08-03,SSE,515450,红利50,1370833.5
2026-08-03,SSE,515460,质量红利,28609.1
2026-08-03,SSE,515480,红利一百,2834.07
2026-08-03,SSE,515530,泰康500,1304.27
2026-08-03,SSE,515550,国联500,2134.57
2026-08-03,SSE,515560,证券E,19288.33
2026-08-03,SSE,515580,中证科技,30803.14
2026-08-03,SSE,515590,500ETFEW,3611.37
2026-08-03,SSE,515600,央企创新,103779.74
