date,exchange,code,name,total_shares_wanfen
2026-07-01,SSE,510010,治理ETF,13152.44
2026-07-01,SSE,510020,超大ETF,3584.8
2026-07-01,SSE,510030,价值ETF,16372.98
2026-07-01,SSE,510040,上证180E,3448
2026-07-01,SSE,510050,50ETF,638886.68
2026-07-01,SSE,510060,央企ETF,3695.92
2026-07-01,SSE,510090,ESG建信,2508.11
2026-07-01,SSE,510100,SZ50ETF,110030.68
2026-07-01,SSE,510130,中盘ETF,3108.51
2026-07-01,SSE,510150,消费ETF,298517.86
2026-07-01,SSE,510160,产业升级,19405.74
2026-07-01,SSE,510170,商品ETF,36491.48
2026-07-01,SSE,510180,180ETF,445855.77
2026-07-01,SSE,510190,上证50基,2365.08
2026-07-01,SSE,510200,上证券商,15488.55
2026-07-01,SSE,510210,综指ETF,818019.26
2026-07-01,SSE,510230,金融ETF,87580.8
2026-07-01,SSE,510270,国企ETF,1783.21
2026-07-01,SSE,510290,380ETF,5444.89
2026-07-01,SSE,510300,300ETF,1839558.77
2026-07-01,SSE,510310,HS300ETF,1133524.4
2026-07-01,SSE,510320,300中金,63706.85
2026-07-01,SSE,510330,华夏300,750354.98
2026-07-01,SSE,510350,工银300,67781.47
2026-07-01,SSE,510360,广发300,151438.12
2026-07-01,SSE,510370,兴业300,7825.81
2026-07-01,SSE,510380,国寿300,124280.24
2026-07-01,SSE,510390,平安300,11945
2026-07-01,SSE,510410,资源ETF,42125.84
2026-07-01,SSE,510500,500ETF,410896.86
2026-07-01,SSE,510510,广发500,76903.83
2026-07-01,SSE,510530,工银500,4497.94
2026-07-01,SSE,510550,方正500,2174.33
2026-07-01,SSE,510560,国寿500,6231.87
2026-07-01,SSE,510570,兴业500,2806.06
2026-07-01,SSE,510580,ZZ500ETF,90616.83
2026-07-01,SSE,510590,平安500,13878.61
2026-07-01,SSE,510600,沪50ETF,1211.51
2026-07-01,SSE,510630,消费30,53236.15
2026-07-01,SSE,510650,金融行业,1195.25
2026-07-01,SSE,510660,医药行业,5487.97
2026-07-01,SSE,510670,180指,20049.3
2026-07-01,SSE,510680,万家50,1782.47
2026-07-01,SSE,510710,上50ETF,10431.89
2026-07-01,SSE,510720,红利国泰,372976.6
2026-07-01,SSE,510760,上证ETF,202150.37
2026-07-01,SSE,510770,G60创新,2311.07
2026-07-01,SSE,510800,上证50,18357.6
2026-07-01,SSE,510810,上海国企,605899.37
2026-07-01,SSE,510850,工银上50,6109.89
2026-07-01,SSE,510880,红利ETF,768367.57
2026-07-01,SSE,510900,恒生中国,345302.19
2026-07-01,SSE,510910,上证指CS,9979.6
2026-07-01,SSE,510950,上证广发,10372.08
2026-07-01,SSE,510980,上证综合,44379.8
2026-07-01,SSE,510990,ESG180,3894.86
2026-07-01,SSE,511010,国债ETF,3668.63
2026-07-01,SSE,511020,活跃国债,2943.75
2026-07-01,SSE,511030,公司债,38155.07
2026-07-01,SSE,511060,5年地债,1623.63
2026-07-01,SSE,511070,沪公司债,26101.1
2026-07-01,SSE,511090,30年国债,25466.81
2026-07-01,SSE,511100,基准国债,11633.05
2026-07-01,SSE,511110,公司债易,26939.96
2026-07-01,SSE,511120,科创债基,11369.06
2026-07-01,SSE,511130,国债30年,17359.97
2026-07-01,SSE,511150,科债永赢,11359.09
2026-07-01,SSE,511160,国债东财,2945.09
2026-07-01,SSE,511180,上证转债,91195.97
2026-07-01,SSE,511190,信用债,12249.43
2026-07-01,SSE,511200,信用债基,19736.75
2026-07-01,SSE,511220,城投ETF,527778.14
2026-07-01,SSE,511260,十年国债,14488.65
2026-07-01,SSE,511270,10年地债,8328.75
2026-07-01,SSE,511360,短融ETF,68942.86
2026-07-01,SSE,511380,转债ETF,427148.67
2026-07-01,SSE,511520,政金债,35796.65
2026-07-01,SSE,511580,国债政金,9150.08
2026-07-01,SSE,512000,券商ETF,7129443.54
2026-07-01,SSE,512010,医药ETF,4921469.49
