date,exchange,code,name,total_shares_wanfen
2026-06-01,SSE,510010,治理ETF,13452.44
2026-06-01,SSE,510020,超大ETF,3584.8
2026-06-01,SSE,510030,价值ETF,16222.98
2026-06-01,SSE,510040,上证180E,3648
2026-06-01,SSE,510050,50ETF,845166.68
2026-06-01,SSE,510060,央企ETF,3695.92
2026-06-01,SSE,510090,ESG建信,2608.11
2026-06-01,SSE,510100,SZ50ETF,133340.68
2026-06-01,SSE,510130,中盘ETF,3188.51
2026-06-01,SSE,510150,消费ETF,300517.86
2026-06-01,SSE,510160,产业升级,19805.74
2026-06-01,SSE,510170,商品ETF,40491.48
2026-06-01,SSE,510180,180ETF,488955.77
2026-06-01,SSE,510190,上证50基,2615.08
2026-06-01,SSE,510200,上证券商,15838.55
2026-06-01,SSE,510210,综指ETF,686619.26
2026-06-01,SSE,510230,金融ETF,229680.8
2026-06-01,SSE,510270,国企ETF,1783.21
2026-06-01,SSE,510290,380ETF,5644.89
2026-06-01,SSE,510300,300ETF,2819928.77
2026-06-01,SSE,510310,HS300ETF,2212264.4
2026-06-01,SSE,510320,300中金,57706.85
2026-06-01,SSE,510330,华夏300,1422924.98
2026-06-01,SSE,510350,工银300,68681.47
2026-06-01,SSE,510360,广发300,148738.12
2026-06-01,SSE,510370,兴业300,8125.81
2026-06-01,SSE,510380,国寿300,115880.24
2026-06-01,SSE,510390,平安300,11135
2026-06-01,SSE,510410,资源ETF,46625.84
2026-06-01,SSE,510500,500ETF,458576.86
2026-06-01,SSE,510510,广发500,84103.83
2026-06-01,SSE,510530,工银500,4547.94
2026-06-01,SSE,510550,方正500,2374.33
2026-06-01,SSE,510560,国寿500,6231.87
2026-06-01,SSE,510570,兴业500,4556.06
2026-06-01,SSE,510580,ZZ500ETF,97416.83
2026-06-01,SSE,510590,平安500,14278.61
2026-06-01,SSE,510600,沪50ETF,1331.51
2026-06-01,SSE,510630,消费30,55536.15
2026-06-01,SSE,510650,金融行业,1045.25
2026-06-01,SSE,510660,医药行业,4237.97
2026-06-01,SSE,510670,180指,25049.3
2026-06-01,SSE,510680,万家50,2142.47
2026-06-01,SSE,510710,上50ETF,10731.89
2026-06-01,SSE,510720,红利国泰,208576.6
2026-06-01,SSE,510760,上证ETF,185350.37
2026-06-01,SSE,510770,G60创新,1711.07
2026-06-01,SSE,510800,上证50,19057.6
2026-06-01,SSE,510810,上海国企,607069.37
2026-06-01,SSE,510850,工银上50,5869.89
2026-06-01,SZSE,159001,货币ETF易方达,1762.95
2026-06-01,SZSE,159003,招商快线ETF,189.58
2026-06-01,SZSE,159005,快钱ETF汇添富,111.55
2026-06-01,SZSE,159007,养殖ETF华泰柏瑞,21660.32
2026-06-01,SZSE,159008,证券ETF景顺,19578.45
2026-06-01,SZSE,159009,创业板新能源ETF易方达,5539.27
2026-06-01,SZSE,159010,港股通科技ETF博时,33609.76
2026-06-01,SZSE,159012,科创创业50ETF鹏华,11088.11
2026-06-01,SZSE,159013,工业互联网ETF大成,6957.88
2026-06-01,SZSE,159015,恒生港股通科技ETF国联,17935.29
2026-06-01,SZSE,159016,证券ETF广发,25704.01
2026-06-01,SZSE,159017,石油ETF工银,17825.68
2026-06-01,SZSE,159018,石油ETF广发,3390.42
2026-06-01,SZSE,159019,石油ETF华宝,6432.77
2026-06-01,SZSE,159020,养殖ETF易方达,10556.70
2026-06-01,SZSE,159021,大盘价值ETF华夏,20690.77
2026-06-01,SZSE,159022,科创创业人工智能ETF富国,13563.09
2026-06-01,SZSE,159026,石油ETF南方,5951.34
2026-06-01,SZSE,159027,畜牧养殖ETF大成,14747.22
2026-06-01,SZSE,159028,港股汽车ETF天弘,15644.90
2026-06-01,SZSE,159029,有色ETF广发,33212.77
2026-06-01,SZSE,159030,粮食ETF华夏,35846.81
2026-06-01,SZSE,159031,粮食ETF博时,24602.86
2026-06-01,SZSE,159032,工业有色ETF易方达,27884.50
2026-06-01,SZSE,159035,软件ETF天弘,32385.97
2026-06-01,SZSE,159038,粮食ETF易方达,20302.69
2026-06-01,SZSE,159100,巴西ETF华夏,45854.69
2026-06-01,SZSE,159101,港股通科技ETF华夏,359631.14
2026-06-01,SZSE,159102,港股通生物科技ETF华安,77862.20
2026-06-01,SZSE,159103,金融科技ETF汇添富,30440.67
2026-06-01,SZSE,159105,恒生生物科技ETF易方达,18627.29
2026-06-01,SZSE,159106,民企300ETF前海开源,4157.94
2026-06-01,SZSE,159107,创业板软件ETF富国,68382.30
2026-06-01,SZSE,159108,工业软件ETF博时,13473.85
2026-06-01,SZSE,159109,恒生50ETF景顺,48116.38
2026-06-01,SZSE,159110,科创债ETF万家,2137.70
2026-06-01,SZSE,159111,科创债ETF天弘,11190.66
2026-06-01,SZSE,159112,科创债ETF银华,22053.78
2026-06-01,SZSE,159113,科创债ETF大成,8817.62
2026-06-01,SZSE,159115,科创债ETF华安,4308.34
2026-06-01,SZSE,159116,科创债ETF工银,11014.27
2026-06-01,SZSE,159117,港股通红利低波ETF鹏华,6240.11
2026-06-01,SZSE,159118,港股通红利低波ETF华夏,7967.70
2026-06-01,SZSE,159119,800现金流ETF招商,17505.42
2026-06-01,SZSE,159120,港股通科技ETF国联安,17202.44
2026-06-01,SZSE,159121,港股通汽车ETF易方达,11048.11
2026-06-01,SZSE,159122,创业板新能源ETF富国,8916.09
2026-06-01,SZSE,159123,光伏ETF嘉实,43904.70
2026-06-01,SZSE,159125,港股通科技ETF招商,101824.58
2026-06-01,SZSE,159126,港股通50ETF南方,29061.65
2026-06-01,SZSE,159127,港股通红利ETF南方,19684.42
2026-06-01,SZSE,159128,港股科技ETF天弘,241576.08
2026-06-01,SZSE,159129,化工ETF嘉实,136190.65
2026-06-01,SZSE,159130,恒生生物科技ETF鹏华,25638.94
2026-06-01,SZSE,159131,港股通信息技术ETF华宝,123691.99
2026-06-01,SZSE,159132,恒生生物科技ETF富国,9496.35
2026-06-01,SZSE,159133,化工ETF天弘,192991.33
2026-06-01,SZSE,159135,港股通科技ETF前海开源,80996.63
2026-06-01,SZSE,159136,A50ETF广发,11841.40
2026-06-01,SZSE,159137,港股通医疗ETF华宝,17763.26
2026-06-01,SZSE,159138,工程机械ETF易方达,6276.79
2026-06-01,SZSE,159139,科创创业人工智能ETF华泰柏瑞,14610.92
2026-06-01,SZSE,159140,科创创业人工智能ETF易方达,36193.68
2026-06-01,SZSE,159141,科创创业人工智能ETF永赢,102906.07
2026-06-01,SZSE,159142,科创创业人工智能ETF景顺,95326.01
2026-06-01,SZSE,159143,港股通央企红利ETF平安,5655.44
2026-06-01,SZSE,159145,工业软件ETF广发,8658.18
2026-06-01,SZSE,159146,电力ETF华宝,82394.08
2026-06-01,SZSE,159147,电池ETF南方,236790.95
2026-06-01,SZSE,159148,石油ETF富国,24346.66
2026-06-01,SZSE,159149,创业板新能源ETF工银,6151.52
2026-06-01,SZSE,159150,深证50ETF易方达,8699.76
2026-06-01,SZSE,159151,食品ETF华夏,12165.10
2026-06-01,SZSE,159152,港股通科技ETF平安,93855.60
2026-06-01,SZSE,159153,消费电子ETF鹏华,8072.59
2026-06-01,SZSE,159155,电池ETF大成,48751.32
2026-06-01,SZSE,159156,电池ETF万家,24746.12
2026-06-01,SZSE,159157,有色金属ETF天弘,874175.87
2026-06-01,SZSE,159158,电力ETF景顺,107003.53
2026-06-01,SZSE,159159,公用事业ETF国投瑞银,12681.85
2026-06-01,SZSE,159160,电池ETF东财,14181.92
2026-06-01,SZSE,159162,工业有色ETF鹏华,48293.98
2026-06-01,SZSE,159163,有色ETF泰康,23480.70
2026-06-01,SZSE,159165,养殖ETF永赢,11657.12
2026-06-01,SZSE,159166,现金流ETF长城,71481.60
2026-06-01,SZSE,159167,港股通医疗ETF工银,24554.91
2026-06-01,SZSE,159168,有色ETF富国,27545.50
2026-06-01,SZSE,159169,恒生生物科技ETF广发,19987.44
2026-06-01,SZSE,159170,港股通互联网ETF永赢,41563.83
2026-06-01,SZSE,159171,工业有色ETF博时,24053.29
2026-06-01,SZSE,159172,养殖ETF汇添富,40382.92
2026-06-01,SZSE,159173,农牧ETF南方,5945.53
2026-06-01,SZSE,159175,电池ETF易方达,22827.03
2026-06-01,SZSE,159176,家电ETF华宝,2330.33
2026-06-01,SZSE,159177,工程机械ETF鹏华,4361.92
2026-06-01,SZSE,159178,消费电子ETF汇添富,7643.29
2026-06-01,SZSE,159179,港股通互联网ETF工银,9490.35
2026-06-01,SZSE,159180,软件ETF银华,3915.59
2026-06-01,SZSE,159181,石油ETF易方达,16540.53
2026-06-01,SZSE,159182,家电ETF南方,3248.56
2026-06-01,SZSE,159183,新能源车ETF招商,5638.77
2026-06-01,SZSE,159185,港股通信息技术ETF鹏华,14809.90
2026-06-01,SZSE,159186,港股通汽车ETF鹏华,10886.92
2026-06-01,SZSE,159187,创业板新能源ETF景顺,6117.62
2026-06-01,SZSE,159188,红利100ETF景顺,7260.18
2026-06-01,SZSE,159189,石油ETF华夏,13708.31
2026-06-01,SZSE,159190,创业板新能源ETF天弘,7406.92
2026-06-01,SZSE,159191,港股通科技ETF易方达,8210.48
